code
ACES
ADRO
AKRA
ANTM
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BSDE
BTPS
CPIN
CTRA
ERAA
EXCL
GGRM
HMSP
ICBP
INCO
INDF
INKP
INTP
ITMG
JPFA
JSMR
KLBF
MDKA
MEDC
MIKA
MNCN
PGAS
PTBA
PTPP
PWON
SMGR
SMRA
TBIG
TKIM
TLKM
TPIA
TOWR
UNTR
UNVR
WIKA
